dataset,method_family,selector,k,model,n_original_features,n_selected_features,feature_reduction_pct,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1
cancersd_stad,Baseline,none,4089,random_forest,4089,4089,0.0,0.8241671073506082,0.0387124225662426,0.819706090296721,0.0210951895660526,0.8264308729295244,0.0386043315973363,0.8181818181818182,0.8177419354838711,0.7874202209035238,0.8251602633792449
mogcn_brca,Baseline,none,19454,random_forest,19454,19454,0.0,0.905533279871692,0.0274239200062907,0.8878155115925315,0.0348255054968119,0.9074943680930976,0.0257921517734294,0.9090909090909092,0.8693130630630631,0.8784188034188034,0.9103674103674104
mogonet_brca_optional,Baseline,none,1000,random_forest,1000,1000,0.0,0.756550713048114,0.0208883961168955,0.7255435133301139,0.0170094571216313,0.763656600156697,0.0192830813494872,0.8098859315589354,0.7443817759848295,0.749053144053144,0.8066448750859396
