dataset,best_classical_group,best_classical_selector,best_classical_model,best_classical_cv_macro_f1,best_classical_test_macro_f1,mlp_group,mlp_selector,mlp_cv_macro_f1,mlp_test_macro_f1,delta_mlp_minus_classical_cv_macro_f1,delta_mlp_minus_classical_test_macro_f1
cancersd_stad,Classical Wrapper,rfe_logistic,logistic_regression,0.8787276252358922,0.7868381598674348,MLP best,l1_logistic,0.7984760950231999,0.8223653395784543,-0.08025153021269227,0.035527179711019485
mogcn_brca,Classical Embedded,extra_trees_importance,logistic_regression,0.9250118185130078,0.8907407407407407,MLP best,extra_trees_importance,0.8716741184253941,0.8651251416211763,-0.05333770008761374,-0.02561559911956446
mogonet_brca_optional,Classical Filter,variance_top_k,random_forest,0.7329035194500599,0.7733272807691411,MLP best,extra_trees_importance,0.7345862894230077,0.7978698958980649,0.0016827699729478063,0.02454261512892375
